Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Ovie Ejaria;eng ENG;FW MF;Liverpool;18;1997;2;0;8;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Omar Elabdellaoui;no NOR;DF MF;Hull City;24;1991;8;7;615;06.août;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Andrew Eleftheriou;eng ENG;DF;Watford;18;1997;1;0;52;0.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Ahmed Elmohamady;eg EGY;DF MF;Hull City;28;1987;33;28;2 524;28.0;0;2;2;0;0;0;3;1;0.00;0.07;0.07;0.00;0.07
Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Mohamed Elneny;eg EGY;MF;Arsenal;24;1992;14;8;694;07.juil;0;1;1;0;0;0;1;0;0.00;0.13;0.13;0.00;0.13
Christian Eriksen;dk DEN;FW MF;Tottenham;24;1992;36;36;3 157;35.1;8;15;23;8;0;0;0;0;0.23;0.43;0.66;0.23;0.66
Bernardo Espinosa;co COL;DF;Middlesbrough;27;1989;11;10;975;10.août;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00
Jonny Evans;nir NIR;DF;West Brom;28;1988;31;30;2 637;29.mars;2;2;4;2;0;0;8;0;0.07;0.07;0.14;0.07;0.14
Łukasz Fabiański;pl POL;GK;Swansea City;31;1985;37;37;3 33;37.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Fábio;br BRA;DF;Middlesbrough;26;1990;24;21;1 847;20.mai;0;0;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00
Cesc Fàbregas;es ESP;FW MF;Chelsea;29;1987;29;13;1 339;14.sept;5;12;17;5;0;0;8;0;0.34;0.81;janv.14;0.34;janv.14
Adam Federici;au AUS;GK;Bournemouth;31;1985;2;2;180;2.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Sofiane Feghouli;dz ALG;FW MF;West Ham;26;1989;21;11;1 041;11.juin;3;2;5;3;0;0;1;1;0.26;0.17;0.43;0.26;0.43
Marouane Fellaini;be BEL;MF;Manchester Utd;28;1987;28;18;1 605;17.août;1;0;1;1;0;0;9;1;0.06;0.00;0.06;0.06;0.06
Leroy Fer;nl NED;MF;Swansea City;26;1990;34;27;2 404;26.juil;6;2;8;6;0;0;9;0;0.22;0.07;0.30;0.22;0.30
Edimilson Fernandes;ch SUI;DF MF;West Ham;20;1996;28;8;1 001;11.janv;0;1;1;0;0;0;4;0;0.00;0.09;0.09;0.00;0.09
Federico Fernández;ar ARG;DF;Swansea City;27;1989;27;27;2 43;27.0;0;2;2;0;0;0;7;0;0.00;0.07;0.07;0.00;0.07
Fernandinho;br BRA;DF MF;Manchester City;31;1985;32;31;2 756;30.juin;2;1;3;2;0;0;4;2;0.07;0.03;0.10;0.07;0.10
